City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,10.46,76,81,7.15,NZ,1698378071
1,inarajan village,13.2736,144.7484,28.55,91,76,3.15,GU,1698378071
2,ushuaia,-54.8,-68.3,2.81,52,0,0.51,AR,1698378071
3,port mathurin,-19.6833,63.4167,24.67,77,66,5.91,MU,1698378071
4,mahanoro,-19.9,48.8,24.19,88,45,2.52,MG,1698378071
5,shalqar,47.8333,59.6,1.8,49,100,4.99,KZ,1698378072
6,hamilton,39.1834,-84.5333,21.65,70,75,3.6,US,1698377817
7,ha'il,27.5219,41.6907,19.01,82,20,0.0,SA,1698378072
8,longyearbyen,78.2186,15.6401,-4.09,86,100,4.12,SJ,1698378072
9,wharton,29.3116,-96.1027,26.16,89,99,3.95,US,1698377939
10,zheleznodorozhnyy,55.7503,38.0042,-2.02,57,100,4.92,RU,1698378072
11,beloyarskiy,63.7119,66.6722,-9.44,94,98,2.24,RU,1698378072
12,vorgashor,67.5833,63.95,-9.9,95,100,4.13,RU,1698378073
13,kavaratti,10.5669,72.642,28.56,68,5,2.99,IN,1698378073
14,mukalla,14.5425,49.1242,26.41,66,63,3.37,YE,1698378073
15,uige,-7.6087,15.0613,19.86,97,100,0.37,AO,1698378073
16,yellowknife,62.456,-114.3525,-4.84,86,20,4.63,CA,1698378073
17,iqaluit,63.7506,-68.5145,-3.15,86,75,6.17,CA,1698378073
18,soio,-6.1349,12.3689,24.9,85,100,3.83,AO,1698378073
19,st. john's,47.5649,-52.7093,8.66,87,75,4.12,CA,1698378074
20,grytviken,-54.2811,-36.5092,1.62,97,100,6.42,GS,1698377997
21,lebu,-37.6167,-73.65,9.39,95,33,0.96,CL,1698378074
22,jamestown,42.097,-79.2353,19.77,65,0,2.57,US,1698377821
23,puerto natales,-51.7236,-72.4875,2.87,78,100,1.21,CL,1698377996
24,al jawf,29.5,38.75,21.94,37,19,4.03,SA,1698378074
25,georgetown,5.4112,100.3354,31.64,73,20,1.54,MY,1698378074
26,port-aux-francais,-49.35,70.2167,2.48,78,7,4.35,TF,1698378075
27,afaahiti,-17.75,-149.2833,24.48,88,100,1.26,PF,1698378075
28,west island,-12.1568,96.8225,26.99,78,100,9.26,CC,1698377998
29,turkmenbasy,40.0222,52.9552,16.43,88,0,3.09,TM,1698378075
30,kingston,17.997,-76.7936,28.53,79,40,3.09,JM,1698377855
31,tomatlan,19.9333,-105.25,22.95,92,39,0.91,MX,1698378075
32,kone,-21.0595,164.8658,26.52,69,37,3.73,NC,1698378075
33,mao,39.8885,4.2658,21.31,60,0,2.06,ES,1698377815
34,papatowai,-46.5619,169.4708,6.29,62,97,9.92,NZ,1698378076
35,solnechnyy,50.7214,136.6319,0.57,51,7,1.7,RU,1698378076
36,blackmans bay,-43.0167,147.3167,15.29,54,34,1.34,AU,1698378076
37,albany,42.6001,-73.9662,17.35,81,100,1.48,US,1698377925
38,adamstown,-25.066,-130.1015,22.57,83,40,4.07,PN,1698377814
39,bowen,-20.0167,148.2333,25.1,68,1,6.62,AU,1698378077
40,college,64.8569,-147.8028,-4.03,86,75,0.0,US,1698378077
41,la passe,45.5549,-0.8967,14.43,75,5,9.07,FR,1698378078
42,ad dawadimi,24.5077,44.3924,20.64,60,17,4.66,SA,1698378078
43,edinburgh of the seven seas,-37.0676,-12.3116,12.62,71,99,8.61,SH,1698378078
44,howrah,22.5892,88.3103,28.0,74,75,2.06,IN,1698378048
45,isafjordur,66.0755,-23.124,3.27,90,20,1.61,IS,1698378078
46,bethel,41.3712,-73.414,19.46,73,0,0.0,US,1698378000
47,bayanhongor,46.7167,100.1167,4.67,24,83,0.91,MN,1698378078
48,tosontsengel,48.7567,98.2839,7.32,23,24,1.38,MN,1698378079
49,thompson,55.7435,-97.8558,-2.91,59,100,3.09,CA,1698378079
50,tazovsky,67.4667,78.7,-13.04,94,83,6.37,RU,1698377784
51,veraval,20.9,70.3667,29.67,48,0,2.4,IN,1698378079
52,tura,25.5198,90.2201,26.26,61,0,1.33,IN,1698378038
53,barra de santo antonio,-9.4047,-35.5072,24.6,80,52,4.27,BR,1698378035
